call_id,arrival_time,wait_time_hr,wait_time_min,handle_time_hr,handle_time_min,total_time_min,agent_id,call_type,abandoned,sla_met,queue_at_arrival,day,hour,is_peak,long_wait
62,1.1472,0.0235,1.41,0.0847,5.08,6.5,2,Complaint,0,1,2,1,9,1,0
63,1.1825,0.0205,1.23,0.0,0.0,1.23,0,Billing,1,0,2,1,9,1,0
64,1.1913,0.0117,0.7,0.0,0.0,0.7,0,Billing,1,0,2,1,9,1,0
65,1.1979,0.0051,0.31,0.1677,10.06,10.37,3,Complaint,0,1,2,1,9,1,0
66,1.2135,0.0419,2.51,0.0,0.0,2.51,0,Billing,1,0,2,1,9,1,1
67,1.2166,0.0389,2.33,0.0,0.0,2.33,0,Account,1,0,2,1,9,1,1
68,1.249,0.0064,0.39,0.0,0.0,0.39,0,General,1,0,2,1,9,1,0
69,1.2505,0.0049,0.29,0.0358,2.15,2.44,2,Billing,0,1,2,1,9,1,0
70,1.3372,0.0,0.0,0.0506,3.03,3.03,1,General,0,1,1,1,9,1,0
71,1.3668,0.0,0.0,0.0268,1.61,1.61,2,Billing,0,1,2,1,9,1,0
72,1.3712,0.0,0.0,0.0343,2.06,2.06,3,Technical,0,1,2,1,9,1,0
73,1.3714,0.0164,0.99,0.0,0.0,0.99,0,Billing,1,0,2,1,9,1,0
74,1.4052,0.0,0.0,0.0862,5.17,5.17,1,Technical,0,1,1,1,9,1,0
75,1.4297,0.0,0.0,0.0348,2.09,2.09,2,Account,0,1,1,1,9,1,0
76,1.4558,0.0,0.0,0.0368,2.21,2.21,3,General,0,1,2,1,9,1,0
77,1.4853,0.0,0.0,0.0343,2.06,2.06,2,Account,0,1,2,1,9,1,0
78,1.4869,0.0045,0.27,0.0444,2.66,2.93,1,General,0,1,2,1,9,1,0
79,1.4957,0.0,0.0,0.0573,3.44,3.44,3,Account,0,1,2,1,9,1,0
80,1.4982,0.0214,1.28,0.0855,5.13,6.41,2,Technical,0,1,2,1,9,1,0
81,1.538,0.0,0.0,0.0337,2.02,2.02,1,Billing,0,1,2,1,9,1,0
82,1.5575,0.0,0.0,0.0323,1.94,1.94,3,Billing,0,1,2,1,9,1,0
83,1.5655,0.0062,0.37,0.0252,1.51,1.88,1,Billing,0,1,2,1,9,1,0
84,1.5668,0.0229,1.38,0.0497,2.98,4.36,3,Technical,0,1,2,1,9,1,0
85,1.5743,0.0226,1.36,0.0215,1.29,2.65,1,Account,0,1,2,1,9,1,0
86,1.5822,0.0229,1.37,0.0637,3.82,5.2,2,Billing,0,1,2,1,9,1,0
87,1.6083,0.0101,0.61,0.0,0.0,0.61,0,Billing,1,0,2,1,9,1,0
88,1.6286,0.0,0.0,0.1386,8.31,8.31,1,Complaint,0,1,2,1,9,1,0
89,1.6723,0.0,0.0,0.1023,6.14,6.14,3,Account,0,1,1,1,9,1,0
90,1.685,0.0,0.0,0.041,2.46,2.46,2,Billing,0,1,2,1,9,1,0
91,1.6876,0.0384,2.31,0.154,9.24,11.55,2,Technical,0,1,2,1,9,1,1
92,1.7126,0.0546,3.28,0.0,0.0,3.28,0,Technical,1,0,2,1,9,1,1
93,1.7412,0.026,1.56,0.0497,2.98,4.55,1,Billing,0,1,2,1,9,1,0
94,1.7577,0.017,1.02,0.0604,3.62,4.64,3,Billing,0,1,2,1,9,1,0
95,1.7871,0.0298,1.79,0.0478,2.87,4.66,1,Billing,0,1,2,1,9,1,0
96,1.8007,0.0342,2.05,0.0,0.0,2.05,0,Technical,1,0,2,1,9,1,1
97,1.8155,0.0195,1.17,0.0,0.0,1.17,0,Billing,1,0,2,1,9,1,0
98,1.8267,0.0083,0.5,0.0499,2.99,3.49,3,Account,0,1,2,1,9,1,0
99,1.8272,0.0375,2.25,0.0,0.0,2.25,0,Account,1,0,2,1,9,1,1
100,1.8295,0.0353,2.12,0.0429,2.57,4.69,1,General,0,1,2,1,9,1,1
101,1.8301,0.0499,2.99,0.1028,6.17,9.16,2,Technical,0,1,2,1,9,1,1
102,1.8504,0.0345,2.07,0.017,1.02,3.09,3,Billing,0,1,2,1,9,1,1
103,1.8579,0.044,2.64,0.0,0.0,2.64,0,Billing,1,0,2,1,9,1,1
104,1.8721,0.0297,1.78,0.0879,5.28,7.06,3,Technical,0,1,2,1,9,1,0
105,1.9198,0.0,0.0,0.0666,4.0,4.0,1,Technical,0,1,2,1,9,1,0
106,1.9255,0.0573,3.44,0.0,0.0,3.44,0,Account,1,0,2,1,9,1,1
107,1.9361,0.0467,2.8,0.0,0.0,2.8,0,Billing,1,0,2,1,9,1,1
108,1.9642,0.0186,1.11,0.014,0.84,1.95,2,General,0,1,2,1,9,1,0
109,1.9694,0.017,1.02,0.0,0.0,1.02,0,Billing,1,0,2,1,9,1,0
110,1.971,0.0154,0.92,0.0976,5.85,6.77,1,Complaint,0,1,2,1,9,1,0
111,1.9779,0.0119,0.72,0.0368,2.21,2.93,3,Billing,0,1,2,1,9,1,0
112,1.9814,0.0154,0.92,0.0707,4.24,5.16,2,Complaint,0,1,2,1,9,1,0
113,2.0345,0.0,0.0,0.0401,2.41,2.41,3,Billing,0,1,2,1,10,1,0
114,2.0675,0.0,0.0,0.0244,1.47,1.47,2,Account,0,1,2,1,10,1,0
115,2.0876,0.0,0.0,0.0225,1.35,1.35,3,General,0,1,1,1,10,1,0
116,2.1286,0.0,0.0,0.0538,3.23,3.23,1,Complaint,0,1,0,1,10,1,0
117,2.1612,0.0,0.0,0.1662,9.97,9.97,2,Complaint,0,1,1,1,10,1,0
118,2.1653,0.0,0.0,0.0454,2.73,2.73,3,Account,0,1,2,1,10,1,0
119,2.2099,0.0,0.0,0.0867,5.2,5.2,1,Billing,0,1,2,1,10,1,0
120,2.2254,0.0,0.0,0.1469,8.82,8.82,3,Technical,0,1,2,1,10,1,0
121,2.2584,0.0383,2.3,0.0298,1.79,4.09,1,General,0,1,2,1,10,1,1
122,2.3036,0.0228,1.37,0.0587,3.52,4.89,1,Technical,0,1,2,1,10,1,0
123,2.3113,0.0161,0.97,0.0803,4.82,5.79,2,Complaint,0,1,2,1,10,1,0
124,2.3136,0.0587,3.52,0.0,0.0,3.52,0,Billing,1,0,2,1,10,1,1
125,2.3188,0.0535,3.21,0.0,0.0,3.21,0,Account,1,0,2,1,10,1,1
126,2.3299,0.0424,2.54,0.0496,2.98,5.52,3,Billing,0,1,2,1,10,1,1
127,2.364,0.0211,1.27,0.0979,5.87,7.14,1,Complaint,0,1,2,1,10,1,0
128,2.4034,0.0043,0.26,0.0171,1.02,1.28,2,General,0,1,2,1,10,1,0
129,2.4036,0.0183,1.1,0.0,0.0,1.1,0,Billing,1,0,2,1,10,1,0
130,2.4179,0.004,0.24,0.0969,5.81,6.06,3,Billing,0,1,2,1,10,1,0
131,2.4287,0.0,0.0,0.0774,4.64,4.64,2,Billing,0,1,2,1,10,1,0
132,2.4337,0.0493,2.96,0.0,0.0,2.96,0,Technical,1,0,2,1,10,1,1
133,2.4363,0.0468,2.81,0.0,0.0,2.81,0,Technical,1,0,2,1,10,1,1
134,2.4445,0.0385,2.31,0.0,0.0,2.31,0,Billing,1,0,2,1,10,1,1
135,2.5018,0.0,0.0,0.0307,1.84,1.84,1,General,0,1,2,1,10,1,0
136,2.5096,0.0,0.0,0.1023,6.14,6.14,2,Technical,0,1,2,1,10,1,0
137,2.5242,0.0,0.0,0.0475,2.85,2.85,3,Technical,0,1,2,1,10,1,0
138,2.5485,0.0,0.0,0.1729,10.37,10.37,1,Complaint,0,1,2,1,10,1,0
139,2.5575,0.0142,0.85,0.057,3.42,4.27,3,Account,0,1,2,1,10,1,0
140,2.6289,0.0,0.0,0.0424,2.54,2.54,2,Account,0,1,1,1,10,1,0
141,2.6945,0.0,0.0,0.0591,3.55,3.55,3,Technical,0,1,1,1,10,1,0
142,2.7003,0.0,0.0,0.0375,2.25,2.25,2,General,0,1,2,1,10,1,0
143,2.7141,0.0073,0.44,0.0649,3.9,4.33,1,Account,0,1,2,1,10,1,0
144,2.7212,0.0166,1.0,0.0723,4.34,5.33,2,Technical,0,1,2,1,10,1,0
145,2.7279,0.0257,1.54,0.0328,1.97,3.51,3,Billing,0,1,2,1,10,1,0
146,2.7287,0.0576,3.45,0.0,0.0,3.45,0,Technical,1,0,2,1,10,1,1
147,2.7475,0.0388,2.33,0.0,0.0,2.33,0,Complaint,1,0,2,1,10,1,1
148,2.7615,0.0248,1.49,0.0,0.0,1.49,0,Billing,1,0,2,1,10,1,0
149,2.7625,0.0237,1.42,0.0,0.0,1.42,0,Billing,1,0,2,1,10,1,0
150,2.7691,0.0172,1.03,0.1065,6.39,7.42,1,Billing,0,1,2,1,10,1,0
151,2.8168,0.0,0.0,0.0565,3.39,3.39,3,Billing,0,1,1,1,10,1,0
152,2.8223,0.0,0.0,0.0322,1.93,1.93,2,Billing,0,1,2,1,10,1,0
153,2.8254,0.029,1.74,0.0266,1.6,3.34,2,Account,0,1,2,1,10,1,0
154,2.8389,0.0344,2.07,0.0,0.0,2.07,0,Account,1,0,2,1,10,1,1
155,2.9238,0.0,0.0,0.1312,7.87,7.87,3,Complaint,0,1,0,1,10,1,0
156,2.9293,0.0,0.0,0.0271,1.63,1.63,2,Billing,0,1,1,1,10,1,0
157,2.9516,0.0,0.0,0.0898,5.39,5.39,1,Technical,0,1,2,1,10,1,0
158,2.9803,0.0,0.0,0.0501,3.01,3.01,2,Technical,0,1,2,1,10,1,0
159,2.9857,0.0447,2.68,0.0,0.0,2.68,0,Billing,1,0,2,1,10,1,1
160,3.0118,0.0187,1.12,0.0462,2.77,3.89,2,Billing,0,1,2,1,11,1,0
161,3.0209,0.0205,1.23,0.0,0.0,1.23,0,General,1,0,2,1,11,1,0
162,3.041,0.0005,0.03,0.0165,0.99,1.02,1,General,0,1,2,1,11,1,0
163,3.061,0.0,0.0,0.0368,2.21,2.21,3,Billing,0,1,1,1,11,1,0
164,3.0764,0.0,0.0,0.0215,1.29,1.29,1,Billing,0,1,2,1,11,1,0
165,3.0783,0.0,0.0,0.0402,2.41,2.41,2,Billing,0,1,2,1,11,1,0
166,3.1143,0.0,0.0,0.0525,3.15,3.15,3,Billing,0,1,1,1,11,1,0
167,3.1221,0.0,0.0,0.0549,3.3,3.3,1,Billing,0,1,1,1,11,1,0
168,3.1262,0.0,0.0,0.1212,7.27,7.27,2,Complaint,0,1,2,1,11,1,0
169,3.127,0.0398,2.39,0.0362,2.17,4.56,3,Account,0,1,2,1,11,1,1
170,3.1449,0.0321,1.93,0.0709,4.25,6.18,1,Technical,0,1,2,1,11,1,0
171,3.1676,0.0355,2.13,0.0,0.0,2.13,0,Account,1,0,2,1,11,1,1
172,3.1679,0.0352,2.11,0.103,6.18,8.29,3,Billing,0,1,2,1,11,1,1
173,3.1822,0.0652,3.91,0.0,0.0,3.91,0,Account,1,0,2,1,11,1,1
174,3.1874,0.06,3.6,0.0369,2.21,5.81,2,Technical,0,1,2,1,11,1,1
175,3.2081,0.0398,2.39,0.0384,2.31,4.69,1,Billing,0,1,2,1,11,1,1
176,3.2119,0.0723,4.34,0.0,0.0,4.34,0,Account,1,0,2,1,11,1,1
177,3.2354,0.0489,2.93,0.0,0.0,2.93,0,Technical,1,0,2,1,11,1,1
178,3.2452,0.0391,2.34,0.0,0.0,2.34,0,Complaint,1,0,2,1,11,1,1
179,3.3004,0.0,0.0,0.1025,6.15,6.15,2,Technical,0,1,1,1,11,1,0
180,3.3034,0.0,0.0,0.0388,2.33,2.33,1,General,0,1,2,1,11,1,0
181,3.3117,0.0,0.0,0.1402,8.41,8.41,3,Technical,0,1,2,1,11,1,0
182,3.3141,0.0281,1.69,0.0324,1.95,3.63,1,Billing,0,1,2,1,11,1,0
183,3.3658,0.0088,0.53,0.0836,5.01,5.54,1,Technical,0,1,2,1,11,1,0
184,3.4078,0.0,0.0,0.0723,4.34,4.34,2,Billing,0,1,2,1,11,1,0
185,3.4138,0.0381,2.29,0.0556,3.33,5.62,3,Billing,0,1,2,1,11,1,1
186,3.4353,0.0228,1.37,0.0,0.0,1.37,0,Complaint,1,0,2,1,11,1,0
187,3.4693,0.0,0.0,0.0854,5.13,5.13,1,Account,0,1,2,1,11,1,0
188,3.4855,0.0,0.0,0.0609,3.66,3.66,2,Account,0,1,2,1,11,1,0
189,3.5006,0.0068,0.41,0.0293,1.76,2.17,3,Account,0,1,2,1,11,1,0
190,3.5062,0.0306,1.84,0.1152,6.91,8.75,3,Complaint,0,1,2,1,11,1,0
191,3.5081,0.0383,2.3,0.0,0.0,2.3,0,General,1,0,2,1,11,1,1
192,3.5536,0.0,0.0,0.1295,7.77,7.77,2,Technical,0,1,2,1,11,1,0
193,3.5998,0.0,0.0,0.0274,1.65,1.65,1,Account,0,1,2,1,11,1,0
194,3.6198,0.0074,0.44,0.0595,3.57,4.01,1,Billing,0,1,2,1,11,1,0
195,3.6281,0.0239,1.43,0.0,0.0,1.43,0,Billing,1,0,2,1,11,1,0
196,3.6367,0.0153,0.92,0.0,0.0,0.92,0,Technical,1,0,2,1,11,1,0
197,3.6626,0.0,0.0,0.0603,3.62,3.62,3,Account,0,1,2,1,11,1,0
198,3.7081,0.0,0.0,0.0786,4.72,4.72,2,Billing,0,1,1,1,11,1,0
199,3.7517,0.0,0.0,0.0256,1.54,1.54,1,General,0,1,1,1,11,1,0
200,3.7819,0.0,0.0,0.0875,5.25,5.25,3,Technical,0,1,1,1,11,1,0
201,3.8025,0.0,0.0,0.0232,1.39,1.39,1,Billing,0,1,1,1,11,1,0
202,3.8042,0.0,0.0,0.0333,2.0,2.0,2,Account,0,1,2,1,11,1,0
203,3.8078,0.018,1.08,0.0302,1.81,2.89,1,Billing,0,1,2,1,11,1,0
204,3.8535,0.0,0.0,0.0418,2.51,2.51,2,Account,0,1,2,1,11,1,0
205,3.8722,0.0,0.0,0.0444,2.67,2.67,1,Account,0,1,1,1,11,1,0
206,3.8724,0.0,0.0,0.1372,8.23,8.23,3,Technical,0,1,2,1,11,1,0
207,3.8745,0.0209,1.25,0.027,1.62,2.88,2,Billing,0,1,2,1,11,1,0
208,3.8963,0.0203,1.22,0.0445,2.67,3.89,1,Billing,0,1,2,1,11,1,0
209,3.8964,0.026,1.56,0.0522,3.13,4.69,2,Account,0,1,2,1,11,1,0
210,3.8999,0.0612,3.67,0.0486,2.92,6.59,1,Billing,0,1,2,1,11,1,1
211,3.9158,0.0588,3.53,0.0,0.0,3.53,0,Account,1,0,2,1,11,1,1
212,3.9394,0.0353,2.12,0.0,0.0,2.12,0,Billing,1,0,2,1,11,1,1
213,3.9605,0.0142,0.85,0.0,0.0,0.85,0,Technical,1,0,2,1,11,1,0
214,3.9656,0.0091,0.55,0.089,5.34,5.88,2,Technical,0,1,2,1,11,1,0
215,3.9905,0.0191,1.15,0.0499,3.0,4.14,3,General,0,1,2,1,11,1,0
216,3.9959,0.0139,0.83,0.142,8.52,9.35,1,Technical,0,1,2,1,11,1,0
217,4.0038,0.0558,3.35,0.0729,4.37,7.72,3,Billing,0,1,2,1,12,0,1
218,4.0312,0.0324,1.95,0.0,0.0,1.95,0,Complaint,1,0,2,1,12,0,0
219,4.0522,0.0115,0.69,0.0685,4.11,4.8,2,Technical,0,1,2,1,12,0,0
220,4.09,0.0421,2.53,0.0,0.0,2.53,0,General,1,0,2,1,12,0,1
221,4.1114,0.0207,1.24,0.0,0.0,1.24,0,Account,1,0,2,1,12,0,0
222,4.1283,0.0039,0.23,0.077,4.62,4.85,2,Technical,0,1,2,1,12,0,0
223,4.1302,0.0022,0.13,0.0319,1.91,2.05,3,Billing,0,1,2,1,12,0,0
224,4.1394,0.0124,0.74,0.1255,7.53,8.27,1,Complaint,0,1,2,1,12,0,0
225,4.1455,0.0188,1.13,0.0272,1.63,2.76,3,Billing,0,1,2,1,12,0,0
226,4.1511,0.0404,2.42,0.1918,11.51,13.93,3,Technical,0,1,2,1,12,0,1
227,4.2234,0.0,0.0,0.0508,3.05,3.05,2,Billing,0,1,2,1,12,0,0
228,4.2334,0.0408,2.45,0.0417,2.5,4.95,2,Billing,0,1,2,1,12,0,1
229,4.2779,0.0,0.0,0.0529,3.17,3.17,1,Technical,0,1,2,1,12,0,0
230,4.2978,0.018,1.08,0.0,0.0,1.08,0,Technical,1,0,2,1,12,0,0
231,4.3295,0.0,0.0,0.1009,6.05,6.05,2,Technical,0,1,2,1,12,0,0
232,4.3435,0.0,0.0,0.0277,1.66,1.66,1,General,0,1,2,1,12,0,0
233,4.3607,0.0105,0.63,0.0201,1.21,1.84,1,Billing,0,1,2,1,12,0,0
234,4.3743,0.0091,0.55,0.0334,2.0,2.55,3,Billing,0,1,2,1,12,0,0
235,4.3786,0.0127,0.76,0.0964,5.78,6.55,1,Technical,0,1,2,1,12,0,0
236,4.4042,0.0125,0.75,0.0452,2.71,3.46,3,Account,0,1,2,1,12,0,0
237,4.4108,0.0196,1.17,0.0,0.0,1.17,0,Billing,1,0,2,1,12,0,0
238,4.4113,0.0191,1.14,0.0331,1.98,3.13,2,General,0,1,2,1,12,0,0
239,4.4321,0.0298,1.79,0.0553,3.32,5.11,3,Technical,0,1,2,1,12,0,0
240,4.436,0.0275,1.65,0.2206,13.24,14.89,2,Complaint,0,1,2,1,12,0,0
241,4.4924,0.0,0.0,0.0381,2.28,2.28,1,Technical,0,1,2,1,12,0,0
242,4.5539,0.0,0.0,0.0595,3.57,3.57,3,Billing,0,1,1,1,12,0,0
243,4.6032,0.0,0.0,0.0981,5.89,5.89,1,Technical,0,1,2,1,12,0,0
244,4.6124,0.001,0.06,0.0322,1.93,1.99,3,General,0,1,2,1,12,0,0
245,4.6128,0.0329,1.97,0.0,0.0,1.97,0,Complaint,1,0,2,1,12,0,0
246,4.6655,0.0,0.0,0.101,6.06,6.06,3,Technical,0,1,2,1,12,0,0
247,4.6767,0.0075,0.45,0.0316,1.9,2.34,2,Account,0,1,2,1,12,0,0
248,4.7447,0.0,0.0,0.0628,3.77,3.77,1,Account,0,1,1,1,12,0,0
249,4.8109,0.0,0.0,0.059,3.54,3.54,2,Complaint,0,1,0,1,12,0,0
250,4.8493,0.0,0.0,0.0454,2.73,2.73,3,Account,0,1,1,1,12,0,0
251,4.8563,0.0,0.0,0.0978,5.87,5.87,1,Technical,0,1,2,1,12,0,0
252,4.866,0.0039,0.23,0.0504,3.02,3.26,2,Account,0,1,2,1,12,0,0
253,4.9041,0.0,0.0,0.0243,1.46,1.46,3,General,0,1,2,1,12,0,0
254,4.9117,0.0086,0.51,0.1138,6.83,7.34,2,Technical,0,1,2,1,12,0,0
255,4.9154,0.0129,0.78,0.0204,1.23,2.0,3,Billing,0,1,2,1,12,0,0
256,4.9317,0.0171,1.03,0.0146,0.87,1.9,3,General,0,1,2,1,12,0,0
257,4.9867,0.0,0.0,0.1121,6.73,6.73,1,Complaint,0,1,1,1,12,0,0
258,5.0105,0.0,0.0,0.038,2.28,2.28,3,Account,0,1,2,1,13,0,0
259,5.0274,0.0067,0.4,0.1288,7.73,8.13,2,Technical,0,1,2,1,13,0,0
260,5.0295,0.0191,1.14,0.0,0.0,1.14,0,Technical,1,0,2,1,13,0,0
261,5.0486,0.0,0.0,0.0723,4.34,4.34,3,Technical,0,1,2,1,13,0,0
262,5.1408,0.0,0.0,0.0443,2.66,2.66,1,Complaint,0,1,1,1,13,0,0
263,5.1438,0.0,0.0,0.0723,4.34,4.34,3,Billing,0,1,2,1,13,0,0
264,5.1584,0.0045,0.27,0.0469,2.82,3.08,2,Billing,0,1,2,1,13,0,0
265,5.2004,0.0,0.0,0.0801,4.8,4.8,1,Technical,0,1,2,1,13,0,0
266,5.2274,0.0,0.0,0.0761,4.57,4.57,2,Billing,0,1,1,1,13,0,0
267,5.2513,0.0,0.0,0.139,8.34,8.34,3,Complaint,0,1,2,1,13,0,0
268,5.2755,0.0049,0.3,0.0206,1.24,1.53,1,General,0,1,2,1,13,0,0
269,5.2844,0.0166,1.0,0.0801,4.8,5.8,1,Billing,0,1,2,1,13,0,0
270,5.2914,0.0121,0.73,0.0234,1.4,2.13,2,General,0,1,2,1,13,0,0
271,5.3245,0.0024,0.14,0.0501,3.01,3.15,2,Account,0,1,2,1,13,0,0
272,5.3577,0.0193,1.16,0.0,0.0,1.16,0,Account,1,0,2,1,13,0,0
273,5.3981,0.0,0.0,0.0485,2.91,2.91,2,Technical,0,1,0,1,13,0,0
274,5.447,0.0,0.0,0.0786,4.72,4.72,1,Technical,0,1,0,1,13,0,0
275,5.4613,0.0,0.0,0.0395,2.37,2.37,3,Account,0,1,1,1,13,0,0
276,5.4752,0.0,0.0,0.059,3.54,3.54,2,Account,0,1,2,1,13,0,0
277,5.5072,0.0,0.0,0.0406,2.44,2.44,3,Billing,0,1,2,1,13,0,0
278,5.5282,0.0,0.0,0.1751,10.5,10.5,1,Technical,0,1,2,1,13,0,0
279,5.5525,0.0,0.0,0.0533,3.2,3.2,2,Technical,0,1,1,1,13,0,0
280,5.5842,0.0,0.0,0.0877,5.26,5.26,3,Billing,0,1,2,1,13,0,0
281,5.6284,0.0,0.0,0.1034,6.2,6.2,2,Complaint,0,1,2,1,13,0,0
282,5.6366,0.0353,2.12,0.0,0.0,2.12,0,Account,1,0,2,1,13,0,1
283,5.646,0.0259,1.55,0.0,0.0,1.55,0,Account,1,0,2,1,13,0,0
284,5.648,0.0239,1.43,0.0,0.0,1.43,0,Account,1,0,2,1,13,0,0
285,5.6653,0.0066,0.4,0.1425,8.55,8.95,3,Complaint,0,1,2,1,13,0,0
286,5.666,0.0373,2.24,0.0914,5.48,7.72,1,Technical,0,1,2,1,13,0,1
287,5.6785,0.0532,3.19,0.0395,2.37,5.56,2,Billing,0,1,2,1,13,0,1
288,5.6942,0.077,4.62,0.0,0.0,4.62,0,Billing,1,0,2,1,13,0,1
